*, JSSLP1, PLNLP, TY1, TY2
145, 0.333, 0.000, 0.333, 0.333
146, 0.000, 0.000, 0.000, 0.000
147, 1.000, 0.000, 0.000, 1.000
148, 1.000, 0.000, 0.500, 1.000
149, 1.000, 0.000, 1.000, 1.000
150, 1.000, 0.000, 0.500, 1.000
151, 1.000, 0.000, 0.000, 1.000
152, 0.667, 0.000, 0.333, 0.333
153, 1.000, 0.000, 0.000, 0.000
154, 1.000, 0.000, 0.000, 1.000
155, 0.000, 0.000, 0.000, 1.000
156, 1.000, 0.000, 1.000, 0.000
157, 1.000, 0.000, 1.000, 1.000
158, 0.000, 0.000, 0.000, 0.000
159, 0.000, 0.000, 0.000, 0.000
160, 0.000, 0.000, 0.000, 0.000
161, 0.000, 0.000, 1.000, 0.000
162, 0.000, 0.000, 1.000, 0.000
163, 0.000, 0.000, 0.000, 0.000
164, 1.000, 0.000, 0.000, 1.000
165, 1.000, 0.000, 0.000, 0.000
166, 0.000, 0.000, 0.000, 0.000
167, 1.000, 0.000, 1.000, 1.000
168, 1.000, 0.000, 1.000, 1.000
169, 1.000, 0.000, 1.000, 1.000
170, 1.000, 0.000, 1.000, 1.000
171, 0.000, 0.000, 0.000, 0.000
172, 1.000, 1.000, 1.000, 1.000
173, 1.000, 1.000, 1.000, 1.000
174, 1.000, 1.000, 1.000, 0.000
175, 1.000, 0.000, 0.000, 1.000
176, 1.000, 0.000, 0.000, 1.000
177, 0.000, 0.000, 0.000, 0.000
178, 1.000, 0.000, 1.000, 0.500
179, 1.000, 0.000, 1.000, 1.000
180, 1.000, 0.000, 0.000, 0.000
181, 1.000, 0.000, 1.000, 1.000
182, 1.000, 0.000, 0.000, 0.000
183, 1.000, 0.000, 0.000, 1.000
184, 0.000, 0.000, 0.000, 1.000
185, 0.000, 0.000, 1.000, 1.000
186, 1.000, 0.000, 0.000, 0.667
187, 1.000, 0.000, 0.000, 1.000
188, 0.000, 0.000, 1.000, 0.000
189, 0.000, 0.000, 0.000, 1.000
190, 1.000, 0.000, 0.500, 1.000
191, 1.000, 0.000, 1.000, 0.000
192, 0.000, 0.000, 0.000, 1.000
